Respondent_ID,Gender,Age_Group,I get a better understanding of the story when reading news in print rather than online,"I trust news stories more when they are in printed newspapers, rather than when they are online","In the future, I intend to read more news online",I would be concerned if printed newspapers were to disappear,I spend too much time on electronic devices,I suffer from a digital overload,"I am concerned that the overuse of electronic devices could be damaging to my health (eyestrain, sleep deprivation, headaches)","I am increasingly concerned that my personal information held electronically is at risk of being hacked, stolen, lost or damaged","I think children and students learn more when reading printed, rather than digital, books and course materials"
52,Male,45-54,5,3,3,2,1,1,4,3,5
53,Male,35-44,3,3,5,3,5,2,5,4,4
54,Male,45-54,3,3,3,4,1,3,3,5,5
55,Female,18-24,4,3,4,3,4,2,5,3,5
56,Male,25-34,1,5,2,1,3,5,2,4,1
57,Male,45-54,3,4,5,3,4,3,3,4,2
58,Female,25-34,2,5,3,1,4,4,4,2,4
59,Male,65+,3,4,3,5,1,3,3,3,3
60,Female,45-54,3,3,4,1,4,1,4,3,3
61,Female,25-34,1,3,3,5,4,2,1,2,2
62,Male,55-64,1,3,1,5,3,2,2,4,3
63,Male,35-44,1,3,3,4,3,4,4,3,4
64,Female,45-54,2,4,4,1,3,4,2,2,5
65,Female,35-44,5,3,3,5,2,2,3,4,4
66,Female,45-54,1,3,3,2,3,4,4,2,3
67,Male,55-64,2,2,5,5,2,2,4,4,4
68,Female,55-64,5,3,2,4,2,1,3,3,2
69,Male,35-44,3,3,4,3,3,4,2,4,3
70,Male,25-34,4,3,4,4,5,5,4,4,5
71,Male,55-64,2,3,3,5,3,5,3,3,4
72,Female,25-34,1,4,5,3,4,1,4,4,3
73,Male,45-54,2,5,4,5,3,4,5,4,4
74,Male,35-44,4,1,2,5,3,4,3,4,2
75,Female,45-54,2,2,5,5,4,4,3,2,3
76,Male,35-44,4,5,5,2,3,4,4,4,4
77,Male,18-24,4,3,2,4,4,1,3,4,3
78,Female,55-64,5,4,4,3,2,2,4,5,3
79,Female,35-44,3,3,5,2,2,3,2,4,3
80,Male,55-64,2,2,5,1,2,3,3,5,4
81,Female,65+,3,2,5,4,3,1,1,3,3
82,Male,55-64,3,3,3,3,3,2,3,3,3
83,Male,65+,5,1,2,3,2,5,3,3,3
84,Male,65+,4,3,3,3,4,2,3,4,4
85,Female,18-24,3,4,4,5,3,3,4,3,4
86,Male,35-44,3,4,1,2,3,3,5,3,3
87,Male,45-54,5,3,5,5,3,1,4,3,4
88,Male,25-34,5,5,5,5,3,5,4,5,3
89,Female,45-54,3,2,1,4,4,3,4,5,4
90,Female,25-34,4,3,3,3,3,4,4,2,3
91,Male,45-54,5,3,4,3,4,3,4,3,3
92,Male,55-64,4,1,4,3,3,2,1,2,4
93,Male,55-64,4,3,4,4,3,2,4,4,3
94,Female,35-44,4,3,5,4,4,3,5,4,2
95,Female,55-64,2,2,4,2,2,2,1,4,4
96,Female,35-44,5,5,4,2,3,4,4,5,3
97,Male,35-44,1,1,4,3,4,3,3,3,5
98,Female,65+,1,1,3,5,2,1,2,2,4
99,Male,55-64,4,5,3,3,4,4,2,5,2
100,Female,18-24,4,3,2,4,2,4,4,3,5
101,Female,55-64,2,3,4,5,4,1,4,4,3
102,Male,55-64,2,4,4,3,3,2,5,4,5
103,Female,55-64,2,1,3,4,5,3,4,4,2
104,Female,35-44,3,4,4,4,4,4,2,4,3
105,Female,18-24,4,4,5,4,5,4,4,5,1
106,Female,55-64,4,1,4,5,4,1,4,3,3
107,Male,45-54,1,1,5,5,3,3,2,4,3
108,Male,45-54,4,5,5,4,3,3,3,3,3
109,Female,35-44,3,2,4,3,4,4,3,3,3
110,Male,55-64,2,5,1,3,3,3,1,4,3
111,Female,55-64,4,5,3,5,3,1,5,4,4
112,Male,25-34,3,4,5,3,4,4,5,4,3
113,Female,35-44,3,3,3,4,5,3,3,5,3
114,Female,45-54,3,5,5,2,3,5,2,2,3
115,Female,25-34,1,5,5,3,4,3,3,4,5
116,Female,35-44,3,3,4,4,2,4,4,4,5
117,Male,35-44,5,3,4,2,4,3,4,4,3
118,Female,45-54,3,4,5,3,4,1,4,5,1
119,Female,45-54,1,3,2,3,4,3,4,4,3
120,Male,25-34,4,4,5,5,1,1,2,4,2
121,Female,65+,3,5,3,3,2,2,4,4,3
122,Female,35-44,3,2,5,3,4,4,4,4,4
123,Male,55-64,2,5,5,3,4,1,4,4,3
124,Male,45-54,3,3,1,1,1,5,3,3,3
125,Female,25-34,5,2,3,3,4,2,3,5,3
126,Female,45-54,5,5,2,5,3,4,3,2,4
127,Female,45-54,5,1,3,2,1,5,3,4,4
128,Female,45-54,3,3,3,5,4,3,2,4,2
129,Female,25-34,5,4,3,2,5,3,3,5,1
130,Female,25-34,1,2,3,3,4,4,3,4,4
131,Female,35-44,5,4,4,4,4,2,5,2,5
132,Male,35-44,3,3,4,3,5,5,3,4,3
133,Female,25-34,2,3,2,5,5,4,3,1,4
134,Female,65+,3,3,3,4,4,2,4,4,5
135,Male,25-34,4,2,3,3,3,4,5,4,3
136,Female,45-54,4,5,3,5,4,3,3,4,5
137,Female,65+,4,1,5,3,3,1,2,5,5
138,Female,35-44,3,4,4,3,3,5,4,4,4
139,Male,35-44,3,5,3,3,3,5,4,4,5
140,Female,25-34,4,2,3,4,2,3,4,5,3
141,Male,45-54,3,4,3,3,5,5,4,5,4
142,Female,55-64,3,3,5,2,5,3,5,3,3
143,Female,55-64,3,2,4,5,4,2,2,3,3
144,Male,55-64,3,3,4,4,2,3,1,2,4
145,Male,35-44,2,3,4,4,4,3,2,4,4
146,Female,35-44,3,3,3,3,3,4,3,4,5
147,Female,35-44,1,3,5,3,5,4,4,4,3
148,Male,45-54,3,1,2,5,3,3,4,5,3
149,Male,35-44,3,2,4,3,3,5,2,3,2
150,Female,35-44,4,3,3,3,1,2,3,4,3
151,Female,35-44,3,3,3,4,3,2,4,3,3
152,Female,25-34,3,2,3,5,4,2,4,2,4
153,Male,25-34,3,4,3,5,1,4,4,3,3
154,Female,65+,4,4,2,1,4,3,2,3,3
155,Male,55-64,2,4,2,2,2,4,4,4,4
156,Male,35-44,4,3,4,2,3,3,2,1,3
157,Female,55-64,3,5,4,5,4,2,3,3,3
158,Male,35-44,2,3,5,5,3,3,5,3,4
159,Male,25-34,3,1,5,4,2,5,5,1,2
160,Female,25-34,4,1,4,4,4,5,4,4,3
161,Female,18-24,2,5,2,4,4,3,4,3,3
162,Female,35-44,5,4,3,2,3,3,4,5,4
163,Male,35-44,3,3,3,5,3,4,1,4,3
164,Female,18-24,2,2,3,3,1,3,5,5,4
165,Female,35-44,5,5,3,3,3,3,4,3,4
166,Female,35-44,1,3,4,4,4,3,4,2,3
167,Female,25-34,4,3,4,5,5,2,4,4,3
168,Female,65+,3,2,1,5,4,3,4,4,3
169,Female,45-54,4,3,4,3,4,5,2,4,3
170,Female,45-54,4,2,3,3,2,1,2,4,5
171,Male,25-34,5,3,5,3,5,4,3,2,4
172,Male,35-44,4,2,4,4,2,3,3,5,3
173,Female,55-64,4,2,4,4,3,4,4,4,3
174,Male,55-64,3,2,4,5,3,1,3,4,4
175,Female,45-54,3,4,4,2,4,1,2,5,3
176,Male,25-34,4,4,3,3,4,1,4,4,4
177,Male,55-64,2,1,5,5,3,2,4,4,4
178,Male,65+,2,3,3,2,3,2,2,3,3
179,Male,35-44,5,5,3,3,3,3,3,4,4
180,Female,25-34,3,3,3,5,5,4,2,4,3
181,Female,25-34,4,2,3,4,4,4,5,4,3
182,Female,25-34,1,4,3,3,4,4,5,3,2
183,Male,55-64,3,2,4,3,1,1,2,5,5
184,Male,35-44,4,3,3,4,4,4,4,5,4
185,Female,55-64,4,2,3,4,2,2,3,1,4
186,Female,35-44,4,4,4,3,4,4,4,5,3
187,Male,65+,4,2,3,1,2,2,3,3,4
188,Female,45-54,1,4,4,3,5,3,4,3,4
189,Female,35-44,3,5,3,2,4,4,3,2,3
190,Female,65+,3,4,3,5,3,2,3,4,5
191,Female,55-64,1,3,4,4,3,4,5,3,3
192,Female,25-34,2,2,5,4,4,4,4,1,3
193,Female,55-64,3,3,4,5,3,2,3,4,5
194,Male,25-34,1,1,3,4,2,3,5,4,2
195,Female,35-44,3,3,3,3,3,4,5,2,4
196,Female,55-64,4,3,4,4,4,2,4,4,3
197,Female,25-34,5,3,4,3,4,5,5,3,2
198,Male,18-24,5,3,4,4,5,1,4,5,3
199,Male,35-44,3,3,4,3,5,4,2,5,3
200,Female,25-34,4,5,5,4,2,2,3,3,3
201,Male,45-54,5,3,5,4,5,2,3,4,2
202,Male,45-54,4,4,3,1,5,3,5,3,5
203,Female,45-54,4,4,3,3,3,3,4,4,4
204,Male,18-24,3,4,4,2,3,2,4,1,5
205,Female,25-34,2,3,4,3,5,5,4,4,2
206,Male,35-44,5,5,4,3,4,2,3,4,4
207,Female,45-54,3,3,3,3,3,4,2,3,4
208,Male,55-64,4,4,3,4,5,1,2,3,3
209,Male,25-34,3,3,3,4,3,2,3,2,4
210,Male,45-54,4,2,3,4,1,5,3,4,1
211,Male,55-64,2,3,4,5,4,3,1,4,3
212,Female,55-64,2,2,3,4,3,4,5,4,5
213,Female,45-54,3,3,3,3,2,3,4,4,3
214,Female,25-34,3,3,5,2,1,4,3,3,5
215,Male,35-44,2,3,2,3,4,3,5,4,4
216,Male,35-44,3,5,4,3,2,3,2,4,3
217,Female,55-64,2,3,3,4,2,1,5,2,3
218,Female,45-54,3,4,4,5,1,2,1,2,3
219,Female,25-34,2,1,3,5,3,3,3,3,4
220,Female,35-44,4,3,2,4,4,5,4,4,3
221,Female,65+,4,2,3,5,2,2,4,3,4
222,Male,55-64,3,3,4,2,4,2,3,4,2
223,Female,25-34,4,3,2,2,4,3,1,4,4
224,Male,45-54,5,4,5,5,4,2,4,4,2
225,Female,25-34,1,4,5,2,5,3,2,4,5
226,Male,55-64,3,2,3,1,2,1,1,4,3
227,Male,25-34,5,2,3,2,3,3,4,5,1
228,Female,65+,3,5,1,2,2,4,1,4,4
229,Female,35-44,2,2,1,2,5,5,5,3,5
230,Female,35-44,5,3,3,3,4,4,4,4,3
231,Female,35-44,5,4,4,4,4,1,3,3,3
232,Female,18-24,5,4,5,1,5,3,4,1,3
233,Female,25-34,2,3,5,4,3,1,5,4,2
234,Female,35-44,4,2,4,4,3,3,4,3,3
235,Male,35-44,4,4,4,3,4,5,5,2,3
236,Male,35-44,3,3,3,2,4,4,2,5,4
237,Male,45-54,1,1,5,5,4,3,4,2,4
238,Female,25-34,1,3,3,3,5,4,5,4,2
239,Female,45-54,3,2,4,5,4,4,3,2,5
240,Male,55-64,3,4,3,2,1,1,5,4,5
241,Male,45-54,5,2,4,2,3,5,3,5,2
242,Female,55-64,4,4,3,1,5,4,5,4,3
243,Male,25-34,2,4,2,3,5,3,5,3,5
244,Male,25-34,1,2,3,4,5,2,3,5,3
245,Male,45-54,1,2,4,3,4,2,3,3,3
246,Female,65+,3,2,3,3,3,1,3,3,5
247,Male,65+,1,1,5,5,3,2,1,3,5
248,Female,45-54,1,3,3,4,3,2,4,4,4
249,Female,25-34,4,2,4,5,2,2,1,3,5
250,Female,25-34,2,3,2,3,4,1,4,4,2
251,Male,18-24,2,3,4,1,4,5,5,4,5
252,Female,25-34,2,2,4,2,5,4,1,3,4
253,Female,55-64,3,2,3,4,4,2,5,3,2
254,Male,65+,5,3,4,3,2,3,3,4,4
255,Female,25-34,2,4,4,4,4,2,1,4,5
256,Female,55-64,5,2,5,5,3,4,5,4,3
257,Male,25-34,5,4,4,1,5,3,2,5,5
258,Male,45-54,4,3,4,4,5,3,3,2,3
259,Male,35-44,1,3,3,4,5,3,4,3,5
260,Male,25-34,2,3,3,3,3,4,3,4,4
261,Female,45-54,4,1,4,4,4,2,4,4,3
262,Male,55-64,4,2,2,5,4,3,4,5,5
263,Male,25-34,2,4,4,4,4,2,2,3,5
264,Female,25-34,2,1,3,5,5,5,3,4,5
265,Male,35-44,4,2,4,4,4,3,3,3,4
266,Female,55-64,4,3,3,4,2,1,3,5,3
267,Female,55-64,3,3,3,4,2,2,2,4,3
268,Male,25-34,2,3,3,5,5,3,1,5,4
269,Male,45-54,4,5,1,1,2,3,2,3,5
270,Male,45-54,5,3,4,5,4,4,3,4,4
271,Female,25-34,4,4,5,4,4,2,2,3,3
272,Female,45-54,2,3,3,3,4,1,5,4,4
273,Female,35-44,4,2,3,4,5,4,3,5,4
274,Female,55-64,2,2,3,5,2,3,3,4,4
275,Male,25-34,5,4,2,5,4,3,1,3,3
276,Male,65+,4,4,3,3,2,1,2,4,1
277,Male,25-34,4,3,5,4,4,2,5,3,5
278,Male,25-34,2,4,3,3,4,3,3,4,4
279,Male,35-44,3,4,3,4,2,3,2,5,3
280,Female,45-54,3,4,3,1,2,3,4,4,3
281,Male,35-44,2,5,4,2,2,3,4,2,2
282,Male,55-64,4,3,3,3,4,3,2,4,2
283,Male,45-54,3,5,3,4,3,2,2,5,5
284,Male,35-44,1,4,5,5,5,5,4,5,3
285,Male,25-34,5,4,3,4,4,1,4,4,5
286,Female,35-44,3,4,4,1,4,4,3,5,4
287,Female,55-64,4,2,4,2,3,2,4,4,4
288,Female,45-54,4,2,5,5,3,3,3,2,4
289,Male,25-34,3,5,3,4,4,2,4,4,5
290,Male,65+,4,2,3,3,5,5,2,3,4
291,Female,18-24,2,1,5,3,5,4,1,5,4
292,Male,25-34,3,3,5,3,4,3,5,4,3
293,Male,25-34,1,4,5,5,2,2,4,4,3
294,Male,35-44,4,1,3,3,4,5,4,2,3
295,Male,55-64,3,2,3,4,4,4,3,2,5
296,Male,25-34,5,3,3,1,5,2,3,3,5
297,Male,18-24,1,5,3,4,5,4,3,5,3
298,Female,45-54,5,2,4,4,3,1,5,4,5
299,Female,35-44,5,2,2,3,4,3,4,4,2
300,Female,55-64,2,3,3,3,2,5,3,3,3
301,Female,35-44,5,3,3,3,4,4,5,3,3
302,Female,25-34,4,4,3,3,4,2,1,4,3
303,Male,35-44,4,2,4,3,2,2,3,2,3
304,Female,35-44,3,3,1,5,4,3,2,5,2
305,Male,45-54,3,3,3,4,4,4,3,5,5
306,Female,65+,5,1,2,4,2,3,3,4,4
307,Male,55-64,3,1,4,4,2,1,4,2,3
308,Female,18-24,2,4,3,5,1,4,5,4,2
309,Male,25-34,4,2,4,4,4,3,3,3,5
310,Male,45-54,3,3,2,5,5,4,5,4,3
311,Male,25-34,4,2,3,4,4,2,5,2,4
312,Male,35-44,5,3,3,2,4,3,5,4,3
313,Female,25-34,1,2,2,3,2,1,3,3,4
314,Male,55-64,3,3,2,3,2,2,3,2,4
315,Female,55-64,4,3,4,1,4,3,4,1,3
316,Male,35-44,4,4,5,3,5,3,3,5,4
317,Female,55-64,3,2,4,1,1,1,5,4,4
318,Female,25-34,3,4,2,1,4,4,4,2,3
319,Male,35-44,2,3,5,3,4,2,2,4,5
320,Male,18-24,2,4,4,3,4,3,4,3,5
321,Male,25-34,5,3,4,4,4,4,4,3,1
322,Female,25-34,5,3,2,5,3,1,4,5,3
323,Female,25-34,3,2,5,5,5,3,4,3,5
324,Male,45-54,3,1,3,2,3,5,2,5,4
325,Female,55-64,4,3,4,2,3,2,2,3,2
326,Male,45-54,5,3,4,5,3,2,4,4,5
327,Male,25-34,3,1,5,3,4,1,4,4,1
328,Male,55-64,4,4,2,4,3,2,2,4,4
329,Female,55-64,3,4,4,3,4,4,4,5,5
330,Male,35-44,4,3,4,2,3,3,3,5,4
331,Female,18-24,3,2,4,4,4,5,4,5,5
332,Male,18-24,4,3,4,4,4,2,4,4,2
333,Male,65+,4,4,2,4,1,1,2,5,3
334,Male,18-24,2,4,3,3,5,3,5,4,3
335,Female,25-34,3,1,3,3,5,4,3,4,3
336,Male,45-54,5,1,4,3,4,3,3,4,5
337,Female,65+,2,2,2,3,1,2,3,4,2
338,Female,65+,3,5,3,5,4,2,1,4,5
339,Female,35-44,2,2,4,2,5,1,2,3,2
340,Male,35-44,4,3,4,4,4,2,4,5,5
341,Female,45-54,4,4,3,5,5,2,4,4,3
342,Male,35-44,3,3,3,5,2,1,4,4,5
343,Female,45-54,1,5,3,4,2,5,4,3,3
344,Female,35-44,3,3,2,4,4,3,4,5,4
345,Male,55-64,2,2,4,1,3,1,4,4,4
346,Female,35-44,2,3,2,4,4,3,4,4,3
347,Female,45-54,5,2,4,4,5,3,3,2,3
348,Female,65+,3,2,3,3,3,3,3,4,4
349,Female,45-54,3,3,3,4,5,3,4,3,3
350,Female,55-64,4,2,4,2,2,3,4,5,3
351,Male,55-64,1,3,4,2,3,3,2,4,5
352,Male,45-54,4,2,2,5,4,1,4,5,3
353,Female,25-34,4,3,3,4,1,4,4,5,3
354,Female,55-64,5,4,1,5,3,4,4,4,4
355,Male,35-44,3,3,3,3,5,5,4,5,2
356,Male,25-34,3,3,3,5,2,3,4,4,5
357,Male,55-64,5,2,3,1,4,2,3,4,4
358,Female,25-34,5,4,3,3,4,1,5,4,4
359,Female,45-54,3,3,2,2,5,1,4,3,2
360,Male,35-44,3,3,4,4,3,2,2,4,4
361,Female,45-54,3,2,4,4,3,5,4,3,3
362,Female,35-44,2,2,5,4,5,3,4,5,4
363,Male,18-24,5,4,2,4,2,4,5,1,4
364,Female,55-64,5,3,2,3,1,3,3,3,2
365,Male,45-54,2,1,4,3,3,3,4,4,3
366,Female,65+,5,3,2,2,4,3,2,3,5
367,Male,45-54,2,3,3,4,5,3,1,4,5
368,Male,55-64,5,5,1,5,2,2,3,5,3
369,Male,45-54,5,5,4,3,4,2,3,1,3
370,Male,45-54,2,4,3,3,3,2,3,3,5
371,Male,18-24,3,4,3,3,4,4,5,4,5
372,Male,45-54,3,4,3,5,1,3,1,3,5
373,Male,35-44,3,5,3,2,4,5,3,4,3
374,Female,35-44,2,3,4,4,4,4,5,5,3
375,Male,65+,3,3,3,3,1,4,4,3,5
376,Female,65+,5,3,2,5,2,2,2,4,4
377,Male,65+,4,1,3,3,4,4,2,4,4
378,Female,65+,3,3,3,4,2,2,1,4,5
379,Female,35-44,5,4,3,4,4,5,4,2,2
380,Female,35-44,3,4,3,4,4,3,1,4,3
381,Male,65+,4,3,3,4,3,3,3,4,3
382,Male,55-64,1,3,3,3,4,1,2,5,4
383,Female,55-64,4,3,5,3,4,1,4,5,3
384,Female,35-44,3,2,4,5,3,4,4,4,3
385,Male,65+,5,4,3,5,3,2,2,5,3
386,Male,25-34,2,2,3,4,4,2,5,3,4
387,Male,25-34,4,3,4,4,5,4,4,3,3
388,Female,35-44,5,5,3,4,1,4,3,2,3
389,Female,25-34,3,3,3,3,4,2,5,3,4
390,Female,65+,4,4,5,3,4,2,2,4,4
391,Male,35-44,4,3,4,3,3,2,4,4,5
392,Male,25-34,1,2,3,4,2,1,5,5,5
393,Female,45-54,3,2,3,2,4,4,3,4,1
394,Female,45-54,3,4,3,2,4,2,4,3,3
395,Female,45-54,3,3,1,3,3,1,5,4,3
396,Male,18-24,2,4,3,3,3,1,5,4,5
397,Female,45-54,3,3,5,4,4,4,4,4,5
398,Male,35-44,3,2,4,3,4,4,3,3,3
399,Female,55-64,5,3,3,3,3,3,3,1,5
400,Female,35-44,3,3,4,4,5,3,3,1,4
401,Female,65+,3,4,4,4,1,4,2,3,3
402,Female,25-34,3,2,1,3,5,3,2,3,2
403,Male,18-24,4,3,4,1,3,3,2,2,3
404,Female,25-34,5,3,5,4,2,4,4,4,4
405,Female,55-64,1,5,3,4,3,2,4,4,4
406,Female,65+,4,5,5,4,3,2,3,4,4
407,Female,25-34,2,1,4,5,5,1,4,4,5
408,Female,45-54,4,3,4,3,3,4,4,2,4
409,Female,25-34,3,3,5,4,4,3,5,5,2
410,Male,35-44,3,3,4,2,3,3,3,3,3
411,Male,65+,3,3,3,1,2,2,2,4,3
412,Female,45-54,5,3,4,4,5,3,4,4,3
413,Female,35-44,1,4,1,3,4,1,3,4,4
414,Male,25-34,2,4,3,5,2,3,5,5,5
415,Female,55-64,5,3,3,4,4,1,4,4,5
416,Female,25-34,1,3,4,3,4,4,5,4,4
417,Female,55-64,2,4,5,4,2,3,4,4,4
418,Female,35-44,4,1,4,3,4,1,4,3,4
419,Male,55-64,3,2,3,5,1,2,5,4,3
420,Female,45-54,3,2,3,5,4,2,4,4,4
421,Female,35-44,3,3,3,1,4,3,4,2,3
422,Female,55-64,2,3,2,1,4,2,4,3,3
423,Male,35-44,3,3,3,4,4,2,3,4,3
424,Female,18-24,4,2,4,4,3,3,4,4,4
425,Female,55-64,3,3,1,5,5,3,3,5,2
426,Female,25-34,4,2,3,3,5,4,3,3,1
427,Female,25-34,2,3,2,5,5,2,4,5,2
428,Female,35-44,3,2,4,4,2,3,4,4,3
429,Female,35-44,5,5,4,3,2,4,4,5,3
430,Male,35-44,5,2,4,3,5,4,3,2,4
431,Male,35-44,3,3,5,3,5,4,3,5,5
432,Female,65+,2,3,5,3,4,3,3,3,3
433,Male,25-34,3,2,3,3,3,3,4,4,4
434,Female,45-54,3,2,5,1,4,5,4,4,1
435,Male,45-54,3,4,5,4,2,3,4,4,3
436,Female,18-24,4,5,4,3,4,3,4,5,4
437,Male,55-64,3,3,3,3,2,1,1,4,3
438,Female,45-54,5,3,3,5,3,3,5,2,1
439,Male,45-54,3,3,2,5,4,5,3,3,4
440,Female,25-34,2,1,3,2,5,3,5,4,4
441,Female,55-64,3,3,3,4,5,4,4,4,4
442,Female,35-44,3,2,2,4,4,2,4,4,3
443,Female,45-54,1,5,2,3,3,2,4,4,3
444,Female,25-34,1,3,3,4,4,2,3,5,3
445,Female,35-44,3,4,4,4,2,4,4,5,5
446,Male,45-54,3,4,4,2,5,2,4,3,4
447,Female,25-34,5,4,5,2,3,2,1,3,3
448,Male,18-24,4,3,4,3,2,3,4,3,4
449,Female,65+,3,2,1,5,3,1,4,4,5
450,Female,25-34,5,1,3,3,2,4,5,5,5
451,Male,18-24,3,2,2,4,3,1,3,5,3
452,Female,25-34,4,2,1,1,2,2,4,3,3
453,Female,55-64,3,2,1,3,3,3,3,4,1
454,Male,45-54,5,4,3,3,4,4,2,2,3
455,Female,55-64,3,3,2,4,5,2,3,2,4
456,Female,35-44,3,3,3,3,4,5,4,3,3
457,Male,45-54,3,3,3,2,4,3,4,2,4
458,Male,25-34,3,4,2,4,3,3,2,1,4
459,Male,35-44,4,4,4,4,5,3,4,4,4
460,Male,45-54,2,5,4,5,4,3,2,2,5
461,Female,45-54,4,2,2,1,4,4,2,2,4
462,Male,55-64,5,3,2,4,5,2,3,4,4
463,Male,35-44,4,3,4,4,4,3,4,4,4
464,Female,18-24,3,2,2,5,4,1,2,4,2
465,Male,55-64,5,2,3,5,4,2,3,3,3
466,Female,55-64,1,1,5,3,4,3,3,3,4
467,Male,55-64,3,3,4,4,3,2,5,4,3
468,Female,45-54,1,3,4,2,1,1,5,4,5
469,Female,45-54,2,4,4,4,2,4,3,4,3
470,Female,45-54,1,2,3,3,3,1,3,2,3
471,Male,35-44,5,4,3,3,4,3,5,3,3
472,Female,25-34,3,3,3,3,2,2,5,3,4
473,Female,45-54,3,1,4,4,4,2,4,5,4
474,Female,25-34,3,3,3,5,5,2,4,4,3
475,Male,55-64,3,2,5,2,3,3,1,4,3
476,Male,18-24,5,5,5,3,4,4,4,4,5
477,Male,18-24,1,2,2,4,2,5,2,5,1
478,Female,35-44,3,3,5,3,4,2,5,3,3
479,Male,25-34,4,1,4,4,4,2,2,2,4
480,Male,55-64,1,2,2,1,1,4,2,3,2
481,Male,35-44,3,2,4,5,4,3,5,2,3
482,Female,45-54,3,3,4,1,3,5,4,4,4
483,Male,18-24,3,5,2,3,3,2,2,2,3
484,Female,35-44,5,3,3,3,5,4,4,4,2
485,Male,35-44,3,3,4,5,4,4,4,3,3
486,Male,35-44,5,4,4,3,5,5,4,4,5
487,Male,18-24,3,3,3,3,3,3,4,5,4
488,Male,65+,4,3,4,3,1,1,2,4,3
489,Female,25-34,4,4,5,3,5,1,4,5,3
490,Male,35-44,2,5,3,4,2,3,4,4,4
491,Female,65+,3,3,4,1,4,2,3,4,3
492,Male,55-64,5,2,4,4,2,4,5,1,4
493,Male,25-34,3,4,2,4,2,3,4,4,3
494,Male,65+,3,5,3,4,2,4,3,4,4
495,Female,25-34,3,2,4,3,4,2,5,3,3
496,Female,25-34,3,4,3,3,4,1,4,3,3
497,Male,45-54,1,3,2,3,3,4,3,4,3
498,Male,45-54,5,4,4,5,4,3,4,5,3
499,Female,35-44,2,4,2,4,4,4,2,4,3
500,Male,55-64,2,3,4,4,3,3,2,5,5
501,Female,25-34,3,2,4,3,2,1,5,4,5
502,Male,25-34,1,4,5,5,5,2,3,3,3
503,Male,25-34,3,3,5,4,4,4,1,3,4
