Respondent_ID,Gender,Age_Group,Print_Comprehension,Print_Trust,Future_Online_Intent,Print_Disappearance_Concern,Digital_Fatigue,Digital_Overload,Health_Concern,Privacy_Concern,Student_Print_Preference,Cluster
69,Male,35-44,3,3,4,3,3,4,2,4,3,0
70,Male,25-34,4,3,4,4,5,5,4,4,5,0
71,Male,55-64,2,3,3,5,3,5,3,3,4,0
72,Female,25-34,1,4,5,3,4,1,4,4,3,1
73,Male,45-54,2,5,4,5,3,4,5,4,4,0
74,Male,35-44,4,1,2,5,3,4,3,4,2,2
75,Female,45-54,2,2,5,5,4,4,3,2,3,0
76,Male,35-44,4,5,5,2,3,4,4,4,4,0
77,Male,18-24,4,3,2,4,4,1,3,4,3,2
78,Female,55-64,5,4,4,3,2,2,4,5,3,2
79,Female,35-44,3,3,5,2,2,3,2,4,3,1
80,Male,55-64,2,2,5,1,2,3,3,5,4,1
81,Female,65+,3,2,5,4,3,1,1,3,3,1
82,Male,55-64,3,3,3,3,3,2,3,3,3,2
83,Male,65+,5,1,2,3,2,5,3,3,3,2
84,Male,65+,4,3,3,3,4,2,3,4,4,2
85,Female,18-24,3,4,4,5,3,3,4,3,4,1
86,Male,35-44,3,4,1,2,3,3,5,3,3,2
87,Male,45-54,5,3,5,5,3,1,4,3,4,1
88,Male,25-34,5,5,5,5,3,5,4,5,3,0
89,Female,45-54,3,2,1,4,4,3,4,5,4,2
90,Female,25-34,4,3,3,3,3,4,4,2,3,0
91,Male,45-54,5,3,4,3,4,3,4,3,3,0
92,Male,55-64,4,1,4,3,3,2,1,2,4,1
93,Male,55-64,4,3,4,4,3,2,4,4,3,1
94,Female,35-44,4,3,5,4,4,3,5,4,2,0
95,Female,55-64,2,2,4,2,2,2,1,4,4,1
96,Female,35-44,5,5,4,2,3,4,4,5,3,0
97,Male,35-44,1,1,4,3,4,3,3,3,5,1
98,Female,65+,1,1,3,5,2,1,2,2,4,1
99,Male,55-64,4,5,3,3,4,4,2,5,2,2
100,Female,18-24,4,3,2,4,2,4,4,3,5,1
101,Female,55-64,2,3,4,5,4,1,4,4,3,1
102,Male,55-64,2,4,4,3,3,2,5,4,5,1
103,Female,55-64,2,1,3,4,5,3,4,4,2,2
104,Female,35-44,3,4,4,4,4,4,2,4,3,0
105,Female,18-24,4,4,5,4,5,4,4,5,1,0
106,Female,55-64,4,1,4,5,4,1,4,3,3,1
107,Male,45-54,1,1,5,5,3,3,2,4,3,1
108,Male,45-54,4,5,5,4,3,3,3,3,3,0
109,Female,35-44,3,2,4,3,4,4,3,3,3,0
110,Male,55-64,2,5,1,3,3,3,1,4,3,2
111,Female,55-64,4,5,3,5,3,1,5,4,4,1
112,Male,25-34,3,4,5,3,4,4,5,4,3,0
113,Female,35-44,3,3,3,4,5,3,3,5,3,2
114,Female,45-54,3,5,5,2,3,5,2,2,3,0
115,Female,25-34,1,5,5,3,4,3,3,4,5,0
116,Female,35-44,3,3,4,4,2,4,4,4,5,1
117,Male,35-44,5,3,4,2,4,3,4,4,3,0
118,Female,45-54,3,4,5,3,4,1,4,5,1,2
119,Female,45-54,1,3,2,3,4,3,4,4,3,2
120,Male,25-34,4,4,5,5,1,1,2,4,2,1
121,Female,65+,3,5,3,3,2,2,4,4,3,2
122,Female,35-44,3,2,5,3,4,4,4,4,4,0
123,Male,55-64,2,5,5,3,4,1,4,4,3,0
124,Male,45-54,3,3,1,1,1,5,3,3,3,2
125,Female,25-34,5,2,3,3,4,2,3,5,3,2
126,Female,45-54,5,5,2,5,3,4,3,2,4,2
127,Female,45-54,5,1,3,2,1,5,3,4,4,1
128,Female,45-54,3,3,3,5,4,3,2,4,2,2
129,Female,25-34,5,4,3,2,5,3,3,5,1,2
130,Female,25-34,1,2,3,3,4,4,3,4,4,1
131,Female,35-44,5,4,4,4,4,2,5,2,5,0
132,Male,35-44,3,3,4,3,5,5,3,4,3,0
133,Female,25-34,2,3,2,5,5,4,3,1,4,0
134,Female,65+,3,3,3,4,4,2,4,4,5,1
135,Male,25-34,4,2,3,3,3,4,5,4,3,0
136,Female,45-54,4,5,3,5,4,3,3,4,5,0
137,Female,65+,4,1,5,3,3,1,2,5,5,1
138,Female,35-44,3,4,4,3,3,5,4,4,4,0
139,Male,35-44,3,5,3,3,3,5,4,4,5,0
140,Female,25-34,4,2,3,4,2,3,4,5,3,1
141,Male,45-54,3,4,3,3,5,5,4,5,4,0
142,Female,55-64,3,3,5,2,5,3,5,3,3,0
143,Female,55-64,3,2,4,5,4,2,2,3,3,1
144,Male,55-64,3,3,4,4,2,3,1,2,4,1
145,Male,35-44,2,3,4,4,4,3,2,4,4,1
146,Female,35-44,3,3,3,3,3,4,3,4,5,1
147,Female,35-44,1,3,5,3,5,4,4,4,3,0
148,Male,45-54,3,1,2,5,3,3,4,5,3,1
149,Male,35-44,3,2,4,3,3,5,2,3,2,0
150,Female,35-44,4,3,3,3,1,2,3,4,3,2
151,Female,35-44,3,3,3,4,3,2,4,3,3,2
152,Female,25-34,3,2,3,5,4,2,4,2,4,1
153,Male,25-34,3,4,3,5,1,4,4,3,3,2
154,Female,65+,4,4,2,1,4,3,2,3,3,2
155,Male,55-64,2,4,2,2,2,4,4,4,4,2
156,Male,35-44,4,3,4,2,3,3,2,1,3,0
157,Female,55-64,3,5,4,5,4,2,3,3,3,2
158,Male,35-44,2,3,5,5,3,3,5,3,4,1
159,Male,25-34,3,1,5,4,2,5,5,1,2,0
160,Female,25-34,4,1,4,4,4,5,4,4,3,0
161,Female,18-24,2,5,2,4,4,3,4,3,3,2
162,Female,35-44,5,4,3,2,3,3,4,5,4,0
163,Male,35-44,3,3,3,5,3,4,1,4,3,2
164,Female,18-24,2,2,3,3,1,3,5,5,4,1
165,Female,35-44,5,5,3,3,3,3,4,3,4,0
166,Female,35-44,1,3,4,4,4,3,4,2,3,0
167,Female,25-34,4,3,4,5,5,2,4,4,3,0
168,Female,65+,3,2,1,5,4,3,4,4,3,2
169,Female,45-54,4,3,4,3,4,5,2,4,3,0
170,Female,45-54,4,2,3,3,2,1,2,4,5,1
171,Male,25-34,5,3,5,3,5,4,3,2,4,0
172,Male,35-44,4,2,4,4,2,3,3,5,3,1
173,Female,55-64,4,2,4,4,3,4,4,4,3,0
174,Male,55-64,3,2,4,5,3,1,3,4,4,1
175,Female,45-54,3,4,4,2,4,1,2,5,3,2
176,Male,25-34,4,4,3,3,4,1,4,4,4,2
177,Male,55-64,2,1,5,5,3,2,4,4,4,1
178,Male,65+,2,3,3,2,3,2,2,3,3,2
179,Male,35-44,5,5,3,3,3,3,3,4,4,2
180,Female,25-34,3,3,3,5,5,4,2,4,3,2
181,Female,25-34,4,2,3,4,4,4,5,4,3,0
182,Female,25-34,1,4,3,3,4,4,5,3,2,0
183,Male,55-64,3,2,4,3,1,1,2,5,5,1
184,Male,35-44,4,3,3,4,4,4,4,5,4,0
185,Female,55-64,4,2,3,4,2,2,3,1,4,1
186,Female,35-44,4,4,4,3,4,4,4,5,3,0
187,Male,65+,4,2,3,1,2,2,3,3,4,1
188,Female,45-54,1,4,4,3,5,3,4,3,4,0
189,Female,35-44,3,5,3,2,4,4,3,2,3,0
190,Female,65+,3,4,3,5,3,2,3,4,5,1
191,Female,55-64,1,3,4,4,3,4,5,3,3,0
192,Female,25-34,2,2,5,4,4,4,4,1,3,0
193,Female,55-64,3,3,4,5,3,2,3,4,5,1
194,Male,25-34,1,1,3,4,2,3,5,4,2,1
195,Female,35-44,3,3,3,3,3,4,5,2,4,0
196,Female,55-64,4,3,4,4,4,2,4,4,3,0
197,Female,25-34,5,3,4,3,4,5,5,3,2,0
198,Male,18-24,5,3,4,4,5,1,4,5,3,1
199,Male,35-44,3,3,4,3,5,4,2,5,3,0
200,Female,25-34,4,5,5,4,2,2,3,3,3,1
201,Male,45-54,5,3,5,4,5,2,3,4,2,0
202,Male,45-54,4,4,3,1,5,3,5,3,5,0
203,Female,45-54,4,4,3,3,3,3,4,4,4,0
204,Male,18-24,3,4,4,2,3,2,4,1,5,0
205,Female,25-34,2,3,4,3,5,5,4,4,2,0
206,Male,35-44,5,5,4,3,4,2,3,4,4,0
207,Female,45-54,3,3,3,3,3,4,2,3,4,2
208,Male,55-64,4,4,3,4,5,1,2,3,3,2
209,Male,25-34,3,3,3,4,3,2,3,2,4,1
210,Male,45-54,4,2,3,4,1,5,3,4,1,2
211,Male,55-64,2,3,4,5,4,3,1,4,3,1
212,Female,55-64,2,2,3,4,3,4,5,4,5,1
213,Female,45-54,3,3,3,3,2,3,4,4,3,2
214,Female,25-34,3,3,5,2,1,4,3,3,5,1
215,Male,35-44,2,3,2,3,4,3,5,4,4,0
216,Male,35-44,3,5,4,3,2,3,2,4,3,2
217,Female,55-64,2,3,3,4,2,1,5,2,3,1
218,Female,45-54,3,4,4,5,1,2,1,2,3,1
219,Female,25-34,2,1,3,5,3,3,3,3,4,1
220,Female,35-44,4,3,2,4,4,5,4,4,3,0
221,Female,65+,4,2,3,5,2,2,4,3,4,1
222,Male,55-64,3,3,4,2,4,2,3,4,2,2
223,Female,25-34,4,3,2,2,4,3,1,4,4,2
224,Male,45-54,5,4,5,5,4,2,4,4,2,0
225,Female,25-34,1,4,5,2,5,3,2,4,5,0
226,Male,55-64,3,2,3,1,2,1,1,4,3,2
227,Male,25-34,5,2,3,2,3,3,4,5,1,2
228,Female,65+,3,5,1,2,2,4,1,4,4,2
229,Female,35-44,2,2,1,2,5,5,5,3,5,0
230,Female,35-44,5,3,3,3,4,4,4,4,3,0
231,Female,35-44,5,4,4,4,4,1,3,3,3,2
232,Female,18-24,5,4,5,1,5,3,4,1,3,0
233,Female,25-34,2,3,5,4,3,1,5,4,2,1
234,Female,35-44,4,2,4,4,3,3,4,3,3,1
235,Male,35-44,4,4,4,3,4,5,5,2,3,0
236,Male,35-44,3,3,3,2,4,4,2,5,4,0
237,Male,45-54,1,1,5,5,4,3,4,2,4,1
238,Female,25-34,1,3,3,3,5,4,5,4,2,0
239,Female,45-54,3,2,4,5,4,4,3,2,5,1
240,Male,55-64,3,4,3,2,1,1,5,4,5,1
241,Male,45-54,5,2,4,2,3,5,3,5,2,0
242,Female,55-64,4,4,3,1,5,4,5,4,3,0
243,Male,25-34,2,4,2,3,5,3,5,3,5,0
244,Male,25-34,1,2,3,4,5,2,3,5,3,1
245,Male,45-54,1,2,4,3,4,2,3,3,3,1
246,Female,65+,3,2,3,3,3,1,3,3,5,1
247,Male,65+,1,1,5,5,3,2,1,3,5,1
248,Female,45-54,1,3,3,4,3,2,4,4,4,1
249,Female,25-34,4,2,4,5,2,2,1,3,5,1
250,Female,25-34,2,3,2,3,4,1,4,4,2,2
251,Male,18-24,2,3,4,1,4,5,5,4,5,0
252,Female,25-34,2,2,4,2,5,4,1,3,4,0
253,Female,55-64,3,2,3,4,4,2,5,3,2,2
254,Male,65+,5,3,4,3,2,3,3,4,4,1
255,Female,25-34,2,4,4,4,4,2,1,4,5,1
256,Female,55-64,5,2,5,5,3,4,5,4,3,0
257,Male,25-34,5,4,4,1,5,3,2,5,5,0
258,Male,45-54,4,3,4,4,5,3,3,2,3,0
259,Male,35-44,1,3,3,4,5,3,4,3,5,1
260,Male,25-34,2,3,3,3,3,4,3,4,4,0
261,Female,45-54,4,1,4,4,4,2,4,4,3,1
262,Male,55-64,4,2,2,5,4,3,4,5,5,1
263,Male,25-34,2,4,4,4,4,2,2,3,5,1
264,Female,25-34,2,1,3,5,5,5,3,4,5,1
265,Male,35-44,4,2,4,4,4,3,3,3,4,1
266,Female,55-64,4,3,3,4,2,1,3,5,3,2
267,Female,55-64,3,3,3,4,2,2,2,4,3,2
268,Male,25-34,2,3,3,5,5,3,1,5,4,1
269,Male,45-54,4,5,1,1,2,3,2,3,5,2
270,Male,45-54,5,3,4,5,4,4,3,4,4,0
271,Female,25-34,4,4,5,4,4,2,2,3,3,0
272,Female,45-54,2,3,3,3,4,1,5,4,4,1
273,Female,35-44,4,2,3,4,5,4,3,5,4,0
274,Female,55-64,2,2,3,5,2,3,3,4,4,1
275,Male,25-34,5,4,2,5,4,3,1,3,3,2
276,Male,65+,4,4,3,3,2,1,2,4,1,2
277,Male,25-34,4,3,5,4,4,2,5,3,5,1
278,Male,25-34,2,4,3,3,4,3,3,4,4,0
279,Male,35-44,3,4,3,4,2,3,2,5,3,2
280,Female,45-54,3,4,3,1,2,3,4,4,3,2
281,Male,35-44,2,5,4,2,2,3,4,2,2,0
282,Male,55-64,4,3,3,3,4,3,2,4,2,2
283,Male,45-54,3,5,3,4,3,2,2,5,5,1
284,Male,35-44,1,4,5,5,5,5,4,5,3,0
285,Male,25-34,5,4,3,4,4,1,4,4,5,1
286,Female,35-44,3,4,4,1,4,4,3,5,4,0
287,Female,55-64,4,2,4,2,3,2,4,4,4,1
288,Female,45-54,4,2,5,5,3,3,3,2,4,1
289,Male,25-34,3,5,3,4,4,2,4,4,5,1
290,Male,65+,4,2,3,3,5,5,2,3,4,0
291,Female,18-24,2,1,5,3,5,4,1,5,4,1
292,Male,25-34,3,3,5,3,4,3,5,4,3,0
293,Male,25-34,1,4,5,5,2,2,4,4,3,1
294,Male,35-44,4,1,3,3,4,5,4,2,3,0
295,Male,55-64,3,2,3,4,4,4,3,2,5,1
296,Male,25-34,5,3,3,1,5,2,3,3,5,0
297,Male,18-24,1,5,3,4,5,4,3,5,3,0
298,Female,45-54,5,2,4,4,3,1,5,4,5,1
299,Female,35-44,5,2,2,3,4,3,4,4,2,2
300,Female,55-64,2,3,3,3,2,5,3,3,3,0
301,Female,35-44,5,3,3,3,4,4,5,3,3,0
302,Female,25-34,4,4,3,3,4,2,1,4,3,2
303,Male,35-44,4,2,4,3,2,2,3,2,3,1
304,Female,35-44,3,3,1,5,4,3,2,5,2,2
305,Male,45-54,3,3,3,4,4,4,3,5,5,1
306,Female,65+,5,1,2,4,2,3,3,4,4,1
307,Male,55-64,3,1,4,4,2,1,4,2,3,1
308,Female,18-24,2,4,3,5,1,4,5,4,2,2
309,Male,25-34,4,2,4,4,4,3,3,3,5,1
310,Male,45-54,3,3,2,5,5,4,5,4,3,0
311,Male,25-34,4,2,3,4,4,2,5,2,4,1
312,Male,35-44,5,3,3,2,4,3,5,4,3,0
313,Female,25-34,1,2,2,3,2,1,3,3,4,1
314,Male,55-64,3,3,2,3,2,2,3,2,4,2
315,Female,55-64,4,3,4,1,4,3,4,1,3,0
316,Male,35-44,4,4,5,3,5,3,3,5,4,0
317,Female,55-64,3,2,4,1,1,1,5,4,4,1
318,Female,25-34,3,4,2,1,4,4,4,2,3,0
319,Male,35-44,2,3,5,3,4,2,2,4,5,1
320,Male,18-24,2,4,4,3,4,3,4,3,5,0
321,Male,25-34,5,3,4,4,4,4,4,3,1,0
322,Female,25-34,5,3,2,5,3,1,4,5,3,2
323,Female,25-34,3,2,5,5,5,3,4,3,5,1
324,Male,45-54,3,1,3,2,3,5,2,5,4,1
325,Female,55-64,4,3,4,2,3,2,2,3,2,2
326,Male,45-54,5,3,4,5,3,2,4,4,5,1
327,Male,25-34,3,1,5,3,4,1,4,4,1,1
328,Male,55-64,4,4,2,4,3,2,2,4,4,2
329,Female,55-64,3,4,4,3,4,4,4,5,5,0
330,Male,35-44,4,3,4,2,3,3,3,5,4,0
331,Female,18-24,3,2,4,4,4,5,4,5,5,0
332,Male,18-24,4,3,4,4,4,2,4,4,2,2
333,Male,65+,4,4,2,4,1,1,2,5,3,2
334,Male,18-24,2,4,3,3,5,3,5,4,3,0
335,Female,25-34,3,1,3,3,5,4,3,4,3,0
336,Male,45-54,5,1,4,3,4,3,3,4,5,1
337,Female,65+,2,2,2,3,1,2,3,4,2,2
338,Female,65+,3,5,3,5,4,2,1,4,5,1
339,Female,35-44,2,2,4,2,5,1,2,3,2,2
340,Male,35-44,4,3,4,4,4,2,4,5,5,1
341,Female,45-54,4,4,3,5,5,2,4,4,3,2
342,Male,35-44,3,3,3,5,2,1,4,4,5,1
343,Female,45-54,1,5,3,4,2,5,4,3,3,0
344,Female,35-44,3,3,2,4,4,3,4,5,4,2
345,Male,55-64,2,2,4,1,3,1,4,4,4,1
346,Female,35-44,2,3,2,4,4,3,4,4,3,2
347,Female,45-54,5,2,4,4,5,3,3,2,3,0
348,Female,65+,3,2,3,3,3,3,3,4,4,1
349,Female,45-54,3,3,3,4,5,3,4,3,3,0
350,Female,55-64,4,2,4,2,2,3,4,5,3,1
351,Male,55-64,1,3,4,2,3,3,2,4,5,1
352,Male,45-54,4,2,2,5,4,1,4,5,3,2
353,Female,25-34,4,3,3,4,1,4,4,5,3,2
354,Female,55-64,5,4,1,5,3,4,4,4,4,2
355,Male,35-44,3,3,3,3,5,5,4,5,2,0
356,Male,25-34,3,3,3,5,2,3,4,4,5,1
357,Male,55-64,5,2,3,1,4,2,3,4,4,2
358,Female,25-34,5,4,3,3,4,1,5,4,4,0
359,Female,45-54,3,3,2,2,5,1,4,3,2,2
360,Male,35-44,3,3,4,4,3,2,2,4,4,1
361,Female,45-54,3,2,4,4,3,5,4,3,3,0
362,Female,35-44,2,2,5,4,5,3,4,5,4,1
363,Male,18-24,5,4,2,4,2,4,5,1,4,0
364,Female,55-64,5,3,2,3,1,3,3,3,2,2
365,Male,45-54,2,1,4,3,3,3,4,4,3,1
366,Female,65+,5,3,2,2,4,3,2,3,5,2
367,Male,45-54,2,3,3,4,5,3,1,4,5,1
368,Male,55-64,5,5,1,5,2,2,3,5,3,2
369,Male,45-54,5,5,4,3,4,2,3,1,3,0
370,Male,45-54,2,4,3,3,3,2,3,3,5,1
371,Male,18-24,3,4,3,3,4,4,5,4,5,0
372,Male,45-54,3,4,3,5,1,3,1,3,5,1
373,Male,35-44,3,5,3,2,4,5,3,4,3,0
374,Female,35-44,2,3,4,4,4,4,5,5,3,0
375,Male,65+,3,3,3,3,1,4,4,3,5,1
376,Female,65+,5,3,2,5,2,2,2,4,4,2
377,Male,65+,4,1,3,3,4,4,2,4,4,1
378,Female,65+,3,3,3,4,2,2,1,4,5,1
379,Female,35-44,5,4,3,4,4,5,4,2,2,0
380,Female,35-44,3,4,3,4,4,3,1,4,3,2
381,Male,65+,4,3,3,4,3,3,3,4,3,2
382,Male,55-64,1,3,3,3,4,1,2,5,4,1
383,Female,55-64,4,3,5,3,4,1,4,5,3,1
384,Female,35-44,3,2,4,5,3,4,4,4,3,1
385,Male,65+,5,4,3,5,3,2,2,5,3,2
386,Male,25-34,2,2,3,4,4,2,5,3,4,1
387,Male,25-34,4,3,4,4,5,4,4,3,3,0
388,Female,35-44,5,5,3,4,1,4,3,2,3,2
389,Female,25-34,3,3,3,3,4,2,5,3,4,0
390,Female,65+,4,4,5,3,4,2,2,4,4,1
391,Male,35-44,4,3,4,3,3,2,4,4,5,1
392,Male,25-34,1,2,3,4,2,1,5,5,5,1
393,Female,45-54,3,2,3,2,4,4,3,4,1,2
394,Female,45-54,3,4,3,2,4,2,4,3,3,2
395,Female,45-54,3,3,1,3,3,1,5,4,3,2
396,Male,18-24,2,4,3,3,3,1,5,4,5,1
397,Female,45-54,3,3,5,4,4,4,4,4,5,0
398,Male,35-44,3,2,4,3,4,4,3,3,3,0
399,Female,55-64,5,3,3,3,3,3,3,1,5,0
400,Female,35-44,3,3,4,4,5,3,3,1,4,0
401,Female,65+,3,4,4,4,1,4,2,3,3,2
402,Female,25-34,3,2,1,3,5,3,2,3,2,2
403,Male,18-24,4,3,4,1,3,3,2,2,3,0
404,Female,25-34,5,3,5,4,2,4,4,4,4,0
405,Female,55-64,1,5,3,4,3,2,4,4,4,1
406,Female,65+,4,5,5,4,3,2,3,4,4,1
407,Female,25-34,2,1,4,5,5,1,4,4,5,1
408,Female,45-54,4,3,4,3,3,4,4,2,4,0
409,Female,25-34,3,3,5,4,4,3,5,5,2,0
410,Male,35-44,3,3,4,2,3,3,3,3,3,0
411,Male,65+,3,3,3,1,2,2,2,4,3,2
412,Female,45-54,5,3,4,4,5,3,4,4,3,0
413,Female,35-44,1,4,1,3,4,1,3,4,4,2
414,Male,25-34,2,4,3,5,2,3,5,5,5,1
415,Female,55-64,5,3,3,4,4,1,4,4,5,1
416,Female,25-34,1,3,4,3,4,4,5,4,4,0
417,Female,55-64,2,4,5,4,2,3,4,4,4,1
418,Female,35-44,4,1,4,3,4,1,4,3,4,1
419,Male,55-64,3,2,3,5,1,2,5,4,3,1
420,Female,45-54,3,2,3,5,4,2,4,4,4,1
421,Female,35-44,3,3,3,1,4,3,4,2,3,0
422,Female,55-64,2,3,2,1,4,2,4,3,3,2
423,Male,35-44,3,3,3,4,4,2,3,4,3,2
424,Female,18-24,4,2,4,4,3,3,4,4,4,1
425,Female,55-64,3,3,1,5,5,3,3,5,2,2
426,Female,25-34,4,2,3,3,5,4,3,3,1,2
427,Female,25-34,2,3,2,5,5,2,4,5,2,2
428,Female,35-44,3,2,4,4,2,3,4,4,3,1
429,Female,35-44,5,5,4,3,2,4,4,5,3,0
430,Male,35-44,5,2,4,3,5,4,3,2,4,0
431,Male,35-44,3,3,5,3,5,4,3,5,5,0
432,Female,65+,2,3,5,3,4,3,3,3,3,0
433,Male,25-34,3,2,3,3,3,3,4,4,4,1
434,Female,45-54,3,2,5,1,4,5,4,4,1,0
435,Male,45-54,3,4,5,4,2,3,4,4,3,1
436,Female,18-24,4,5,4,3,4,3,4,5,4,0
437,Male,55-64,3,3,3,3,2,1,1,4,3,2
438,Female,45-54,5,3,3,5,3,3,5,2,1,2
439,Male,45-54,3,3,2,5,4,5,3,3,4,0
440,Female,25-34,2,1,3,2,5,3,5,4,4,0
441,Female,55-64,3,3,3,4,5,4,4,4,4,0
442,Female,35-44,3,2,2,4,4,2,4,4,3,2
443,Female,45-54,1,5,2,3,3,2,4,4,3,2
444,Female,25-34,1,3,3,4,4,2,3,5,3,1
445,Female,35-44,3,4,4,4,2,4,4,5,5,1
446,Male,45-54,3,4,4,2,5,2,4,3,4,0
447,Female,25-34,5,4,5,2,3,2,1,3,3,2
448,Male,18-24,4,3,4,3,2,3,4,3,4,1
449,Female,65+,3,2,1,5,3,1,4,4,5,1
450,Female,25-34,5,1,3,3,2,4,5,5,5,1
451,Male,18-24,3,2,2,4,3,1,3,5,3,2
452,Female,25-34,4,2,1,1,2,2,4,3,3,2
453,Female,55-64,3,2,1,3,3,3,3,4,1,2
454,Male,45-54,5,4,3,3,4,4,2,2,3,2
455,Female,55-64,3,3,2,4,5,2,3,2,4,2
456,Female,35-44,3,3,3,3,4,5,4,3,3,0
457,Male,45-54,3,3,3,2,4,3,4,2,4,0
458,Male,25-34,3,4,2,4,3,3,2,1,4,2
459,Male,35-44,4,4,4,4,5,3,4,4,4,0
460,Male,45-54,2,5,4,5,4,3,2,2,5,1
461,Female,45-54,4,2,2,1,4,4,2,2,4,2
462,Male,55-64,5,3,2,4,5,2,3,4,4,2
463,Male,35-44,4,3,4,4,4,3,4,4,4,0
464,Female,18-24,3,2,2,5,4,1,2,4,2,2
465,Male,55-64,5,2,3,5,4,2,3,3,3,2
466,Female,55-64,1,1,5,3,4,3,3,3,4,1
467,Male,55-64,3,3,4,4,3,2,5,4,3,1
468,Female,45-54,1,3,4,2,1,1,5,4,5,1
469,Female,45-54,2,4,4,4,2,4,3,4,3,0
470,Female,45-54,1,2,3,3,3,1,3,2,3,1
471,Male,35-44,5,4,3,3,4,3,5,3,3,0
472,Female,25-34,3,3,3,3,2,2,5,3,4,1
473,Female,45-54,3,1,4,4,4,2,4,5,4,1
474,Female,25-34,3,3,3,5,5,2,4,4,3,2
475,Male,55-64,3,2,5,2,3,3,1,4,3,1
476,Male,18-24,5,5,5,3,4,4,4,4,5,0
